y,x0,x1,x2,x3,x4
-1.6354,1,0.2292,-0.32597,0.39856,-0.28851
-1.6007,1,-0.13942,-0.14729,-0.34251,0.5993
-1.5659,1,0.25575,-0.18077,-0.39715,0.22356
-1.5312,1,0.31989,-0.1202,0.22696,-0.46519
-1.4965,1,-0.20377,0.022001,0.57266,-0.31318
-1.4617,1,0.08133,0.43309,0.15286,-0.71941
-1.4443,1,-0.041473,-0.044313,0.14792,-0.057033
-1.427,1,0.21672,0.012111,0.086572,-0.36446
-1.3922,1,0.23382,-0.47444,0.31695,-0.061934
-1.3575,1,0.2115,0.25719,-0.21867,-0.35443
-1.3228,1,-0.14533,0.031189,-0.038515,0.1463
-1.288,1,-0.2334,0.22733,-0.068857,0.063819
-1.2533,1,-0.057253,0.012587,0.049882,-0.013864
-1.2533,1,0.030129,0.022804,-0.29428,0.17603
-1.441,1,0.18199,-0.052871,0.3367,-0.47056
-1.25,1,0.27482,-0.30553,0.22256,-0.20562
-1.4377,1,-0.21933,-0.42603,-0.054245,0.74617
-1.2466,1,-0.44432,0.34148,-0.049092,0.17533
-1.4364,1,-0.16012,-0.21539,-0.32832,0.69228
-1.4669,1,0.08097,-0.32545,-0.34321,0.54487
-1.4344,1,0.089586,-0.1206,0.11385,-0.087417
-1.2433,1,-0.024989,0.20516,0.26697,-0.44021
-1.4974,1,-0.22982,-0.43828,-0.28905,0.982
-1.5279,1,0.34872,0.00014786,-0.33248,-0.12486
-1.5584,1,-0.43587,-0.1477,-0.53412,1.1264
-1.4311,1,0.54819,-0.098097,-0.078554,-0.47295
-1.24,1,0.13468,0.37461,-0.096067,-0.48638
-1.589,1,-0.078682,-0.33939,-0.23034,0.65173
-1.3979,1,-0.014533,-0.017253,-0.25285,0.24928
-1.2705,1,0.5307,-0.67431,-0.309,0.37309
-1.6195,1,-0.18527,-0.040313,-0.17922,0.40944
-1.3647,1,-0.11935,0.10794,0.33598,-0.28025
-1.3329,1,0.41474,0.17877,0.018593,-0.69918
